key,decimal,ternary,skin,body,core,frequency_hz,waveform,pulse_rate_hz,max_harmonics,color_hex
1,1,000001,01,00,00,16.35,Soft Sine,4.0,2,#250000
2,9,000100,00,00,01,17.38,Pure Sine,4.0,1,#000025
3,16,000121,01,02,01,18.33,Soft Sine,6.0,2,#253c25
4,24,000220,00,02,02,19.49,Pure Sine,6.0,1,#003c3c
5,31,001011,01,01,10,20.55,Soft Sine,5.0,2,#252561
6,39,001110,00,01,11,21.85,Pure Sine,5.0,1,#002586
7,46,001201,01,00,12,23.05,Soft Sine,4.0,2,#25009d
8,54,002000,00,00,20,24.50,Pure Sine,4.0,1,#0000c2
9,62,002022,02,02,20,26.04,Warm Sine,6.0,3,#3c3cc2
10,69,002120,00,02,21,27.46,Pure Sine,6.0,1,#003ce7
11,77,002212,02,01,22,29.19,Warm Sine,5.0,3,#3c25fe
12,84,010010,00,11,00,30.79,Pure Sine,8.0,1,#008600
13,92,010102,02,10,01,32.73,Warm Sine,7.0,3,#3c6125
14,99,010200,00,10,02,34.53,Pure Sine,7.0,1,#00613c
15,107,010222,02,12,02,36.70,Warm Sine,10.0,3,#3c9d3c
16,115,011021,01,12,10,39.01,Soft Sine,10.0,2,#259d61
17,122,011112,02,11,11,41.15,Warm Sine,8.0,3,#3c8686
18,130,011211,01,11,12,43.74,Soft Sine,8.0,2,#25869d
19,137,012002,02,10,20,46.14,Warm Sine,7.0,3,#3c61c2
20,145,012101,01,10,21,49.04,Soft Sine,7.0,2,#2561e7
21,152,012122,02,12,21,51.73,Warm Sine,10.0,3,#3c9de7
22,160,012221,01,12,22,54.98,Soft Sine,10.0,2,#259dfe
23,168,020020,00,22,00,58.44,Pure Sine,13.0,1,#00fe00
24,175,020111,01,21,01,61.65,Soft Sine,12.0,2,#25e725
25,183,020210,00,21,02,65.53,Pure Sine,12.0,1,#00e73c
26,190,021001,01,20,10,69.12,Soft Sine,11.0,2,#25c261
27,198,021100,00,20,11,73.47,Pure Sine,11.0,1,#00c286
28,205,021121,01,22,11,77.50,Soft Sine,13.0,2,#25fe86
29,213,021220,00,22,12,82.37,Pure Sine,13.0,1,#00fe9d
30,221,022012,02,21,20,87.56,Warm Sine,12.0,3,#3ce7c2
31,228,022110,00,21,21,92.36,Pure Sine,12.0,1,#00e7e7
32,236,022202,02,20,22,98.17,Warm Sine,11.0,3,#3cc2fe
33,243,100000,10,00,00,103.56,Soft Triangle,4.0,5,#610000
34,251,100022,12,02,00,110.07,Bright Triangle,6.0,9,#9d3c00
35,258,100120,10,02,01,116.11,Soft Triangle,6.0,5,#613c25
36,266,100212,12,01,02,123.41,Bright Triangle,5.0,9,#9d253c
37,274,101011,11,01,10,131.18,Triangle,5.0,7,#862561
38,281,101102,12,00,11,138.37,Bright Triangle,4.0,9,#9d0086
39,289,101201,11,00,12,147.08,Triangle,4.0,7,#86009d
40,296,101222,12,02,12,155.15,Bright Triangle,6.0,9,#9d3c9d
41,304,102021,11,02,20,164.91,Triangle,6.0,7,#863cc2
42,311,102112,12,01,21,173.95,Bright Triangle,5.0,9,#9d25e7
43,319,102211,11,01,22,184.90,Triangle,5.0,7,#8625fe
44,327,110010,10,11,00,196.53,Soft Triangle,8.0,5,#618600
45,334,110101,11,10,01,207.31,Triangle,7.0,7,#866125
46,342,110200,10,10,02,220.36,Soft Triangle,7.0,5,#61613c
47,349,110221,11,12,02,232.44,Triangle,10.0,7,#869d3c
48,357,111020,10,12,10,247.07,Soft Triangle,10.0,5,#619d61
49,364,111111,11,11,11,260.62,Triangle,8.0,7,#868686
50,372,111210,10,11,12,277.01,Soft Triangle,8.0,5,#61869d
51,380,112002,12,10,20,294.45,Bright Triangle,7.0,9,#9d61c2
52,387,112100,10,10,21,310.59,Soft Triangle,7.0,5,#6161e7
53,395,112122,12,12,21,330.14,Bright Triangle,10.0,9,#9d9de7
54,402,112220,10,12,22,348.24,Soft Triangle,10.0,5,#619dfe
55,410,120012,12,21,00,370.15,Bright Triangle,12.0,9,#9de700
56,418,120111,11,21,01,393.45,Triangle,12.0,7,#86e725
57,425,120202,12,20,02,415.02,Bright Triangle,11.0,9,#9dc23c
58,433,121001,11,20,10,441.14,Triangle,11.0,7,#86c261
59,440,121022,12,22,10,465.33,Bright Triangle,13.0,9,#9dfe61
60,448,121121,11,22,11,494.61,Triangle,13.0,7,#86fe86
61,455,121212,12,21,12,521.74,Bright Triangle,12.0,9,#9de79d
62,463,122011,11,21,20,554.57,Triangle,12.0,7,#86e7c2
63,471,122110,10,21,21,589.46,Soft Triangle,12.0,5,#61e7e7
64,478,122201,11,20,22,621.79,Triangle,11.0,7,#86c2fe
65,486,200000,20,00,00,660.91,Soft Sawtooth,4.0,5,#c20000
66,493,200021,21,02,00,697.16,Sawtooth,6.0,7,#e73c00
67,501,200120,20,02,01,741.02,Soft Sawtooth,6.0,5,#c23c25
68,508,200211,21,01,02,781.67,Sawtooth,5.0,7,#e7253c
69,516,201010,20,01,10,830.85,Soft Sawtooth,5.0,5,#c22561
70,524,201102,22,00,11,883.13,Full Sawtooth,4.0,9,#fe0086
71,531,201200,20,00,12,931.56,Soft Sawtooth,4.0,5,#c2009d
72,539,201222,22,02,12,990.18,Full Sawtooth,6.0,9,#fe3c9d
73,546,202020,20,02,20,1044.48,Soft Sawtooth,6.0,5,#c23cc2
74,554,202112,22,01,21,1110.20,Full Sawtooth,5.0,9,#fe25e7
75,561,202210,20,01,22,1171.09,Soft Sawtooth,5.0,5,#c225fe
76,569,210002,22,10,00,1244.78,Full Sawtooth,7.0,9,#fe6100
77,577,210101,21,10,01,1323.10,Sawtooth,7.0,7,#e76125
78,584,210122,22,12,01,1395.66,Full Sawtooth,10.0,9,#fe9d25
79,592,210221,21,12,02,1483.48,Sawtooth,10.0,7,#e79d3c
80,599,211012,22,11,10,1564.84,Full Sawtooth,8.0,9,#fe8661
81,607,211111,21,11,11,1663.30,Sawtooth,8.0,7,#e78686
82,614,211202,22,10,12,1754.52,Full Sawtooth,7.0,9,#fe619d
83,622,212001,21,10,20,1864.92,Sawtooth,7.0,7,#e761c2
84,630,212100,20,10,21,1982.26,Soft Sawtooth,7.0,5,#c261e7
85,637,212121,21,12,21,2090.98,Sawtooth,10.0,7,#e79de7
86,645,212220,20,12,22,2222.55,Soft Sawtooth,10.0,5,#c29dfe
87,652,220011,21,21,00,2344.44,Sawtooth,12.0,7,#e7e700
88,660,220110,20,21,01,2491.96,Soft Sawtooth,12.0,5,#c2e725
89,667,220201,21,20,02,2628.63,Sawtooth,11.0,7,#e7c23c
90,675,221000,20,20,10,2794.02,Soft Sawtooth,11.0,5,#c2c261
91,683,221022,22,22,10,2969.83,Full Sawtooth,13.0,9,#fefe61
92,690,221120,20,22,11,3132.70,Soft Sawtooth,13.0,5,#c2fe86
93,698,221212,22,21,12,3329.82,Full Sawtooth,12.0,9,#fee79d
94,705,222010,20,21,20,3512.44,Soft Sawtooth,12.0,5,#c2e7c2
95,713,222102,22,20,21,3733.45,Full Sawtooth,11.0,9,#fec2e7
96,720,222200,20,20,22,3938.20,Soft Sawtooth,11.0,5,#c2c2fe
97,728,222222,22,22,22,4186.00,Full Sawtooth,13.0,9,#fefefe
